headline,publication_date,section_name
The price is wrong: survey exposes lack of personal finance knowledge in UK,2015-07-07 06:00:05+00:00,Money
"UK house prices will end year 6% higher, say surveyors",2015-09-09 23:01:00+00:00,Money
Revealed: How MadBid buyers can end up paying twice the price,2015-05-15 15:29:40+00:00,Money
"London house prices most overvalued in the world, says UBS",2015-10-29 13:36:54+00:00,Money
UK house prices for August 'through the roof' – Halifax,2015-09-10 08:59:36+00:00,Money
Supermarket pricing targeted by UK government after watchdog report,2015-10-15 17:28:48+00:00,Money
Childcare costs: the UK and Ireland are worst on price,2015-03-28 07:00:10+00:00,Money
Stay-at-home dads pay the price in job market for putting family first,2015-06-21 11:00:06+00:00,Money
iClaims wins in court over recycled mobile phone price,2015-02-24 07:00:00+00:00,Money
Land Registry figures show house prices continuing to rise,2015-09-28 10:14:43+00:00,Money
Small drop in asking prices fails to excite homebuyers,2015-08-16 23:01:07+00:00,Money
British Gas to cut gas prices by 5%,2015-07-15 09:12:33+00:00,Money
"Holding the base rate risks house prices rising faster, says BNP Paribas",2015-12-07 15:44:49+00:00,Money
A burning issue about how much we're charged by Flogas for our heating,2015-10-25 07:00:03+00:00,Money
Halifax records 0.6% fall in July house prices,2015-08-06 09:04:27+00:00,Money
"Insurers must inform customers of premium rises, regulator rules",2015-12-03 12:45:06+00:00,Money
Employment tribunal fees price workers out of justice,2015-01-06 19:30:36+00:00,Money
House prices in England and Wales hit record high,2015-07-28 12:11:19+00:00,Money
Ireland on top of the world in global house price index,2015-03-16 16:24:09+00:00,Money
"April house price average at all-time high of more than £286,000",2015-04-19 23:07:05+00:00,Money
House prices in England and Wales stay static,2015-06-26 10:38:18+00:00,Money
"UK house prices to remain subdued over next five years, says Savills",2015-11-05 12:54:06+00:00,Money
"Money Talks: Britain's best-paid jobs, help-to-buy Isa and travel insurance deals",2015-12-03 15:07:47+00:00,Money
"Soaring London house prices sucking cash out of economy, study says",2015-10-11 23:01:00+00:00,Money
What should I look for when buying new headphones?,2015-12-19 06:59:09+00:00,Money
London house prices 'cutting off' graduates from best jobs,2015-09-16 14:58:35+00:00,Money
Prices for cross-border phone calls have always been ridiculously high in Europe,2015-10-31 07:01:12+00:00,Money
"UK house prices up £3,000 in one month – ONS",2015-08-18 11:15:31+00:00,Money
Conflicting UK house price data points to two-tier market,2015-02-16 00:01:03+00:00,Money
Huge leap in number of people cashing in and moving out of London in 2015,2015-12-26 00:01:09+00:00,Money
My wife insists on buying cheap glasses from Poundland,2015-11-07 07:00:09+00:00,Money
"UK house prices slip in June, says Nationwide",2015-07-02 07:26:25+00:00,Money
First-time buyers face prices almost 10% higher than year ago,2015-10-18 23:01:02+00:00,Money
Cap on card fees could lead to lower prices for consumers,2015-07-27 16:00:45+00:00,Money
I was turned away from a hotel I had booked through LateRooms,2015-11-16 07:00:06+00:00,Money
Calls to switch energy provider as British Gas reveals ‘shocking’ profits,2015-08-01 06:00:03+00:00,Money
"Priced out of London? Move to Wellingborough, says Lloyds' report",2015-07-29 06:01:02+00:00,Money
"UK house price growth slows for 7th month in a row, says Nationwide",2015-03-27 08:22:49+00:00,Money
England and Wales' most expensive streets: from Kensington to Cobham,2015-12-11 09:35:59+00:00,Money
A fall in the price of houses new to the market will reverse after Tory win,2015-05-17 23:01:05+00:00,Money
"Money Talks: student woes, Wonga joy and a house price surprise",2015-02-05 16:09:56+00:00,Money
Price comparison sites defend practice of hiding cheap tariffs to MPs,2015-02-03 16:55:38+00:00,Money
"Pressing the red button with BA cost me more than £1,000",2015-11-02 07:00:08+00:00,Money
April house prices in sharpest slowdown since 2006,2015-06-16 10:07:34+00:00,Money
British renters paying 2.7% more than last year,2015-10-29 11:26:39+00:00,Money
"Cost of average London home rises to £500,000",2015-10-28 19:16:50+00:00,Money
Ticket prices will go in one direction due to government U-turn,2015-08-31 06:00:06+00:00,Money
"UK house price rises are tailing off, says Rics survey",2015-01-15 06:00:06+00:00,Money
Npower announces gas price cut and takes a swipe at Labour,2015-01-23 10:23:23+00:00,Money
Overdraft or a ‘money transfer’? How to ease the cost of Christmas,2015-11-14 07:00:13+00:00,Money
"Are you sitting on a goldmine of unclaimed loyalty-card points?
",2015-10-06 14:32:04+00:00,Money
"House prices resume growth, says Land Registry",2015-06-01 10:40:03+00:00,Money
